"","Player","Points","Total_Rebounds","Assists","Steals","Blocks","Missed_Field_Goals","Missed_Free_Throws","Turnovers","Games","EFF","Salary"
"299","Jordan McRae",37,8,10,3,0,-15,-3,-6,7,-2.14281305505058,61776
"300","Lorenzo Brown",20,7,11,3,1,-17,-1,-9,8,-1.89127856777133,111444
"301","Phil Pressey",22,8,29,7,3,-14,-3,-14,9,-3.01546917447345,111444
"302","Ronnie Price",331,99,147,74,13,-186,-10,-70,62,-3.23992034317064,1499187
"303","Brian Roberts",60,12,16,3,1,-27,-2,-7,21,-1.00616240036061,2854940
"304","Damian Lillard",1879,302,512,65,28,-856,-50,-242,75,-8.27540892366994,4236287
"305","Tim Frazier",51,39,42,10,1,-40,-7,-27,35,-1.43943335556544,845059
"306","Darren Collison",1035,169,318,76,4,-399,-32,-130,74,-4.74324840273335,5013559
"307","Rajon Rondo",859,435,839,141,10,-427,-63,-278,72,-8.78075060042487,9500000
"308","Seth Curry",299,60,67,22,3,-122,-9,-36,44,-2.34351003499498,947276
"309","Andre Miller",56,27,29,7,0,-25,-4,-12,13,-2.41704272096184,396844
"310","Patrick Mills",690,158,226,59,6,-352,-11,-76,81,-3.18220417977771,3578947
"311","Ray McCallum",68,31,33,5,4,-40,-1,-11,31,-1.20810478673397,947276
"312","Tony Parker",857,176,379,54,11,-360,-41,-131,72,-4.84308327712729,13437500
"313","Delon Wright",103,37,31,8,3,-44,-9,-16,27,-1.87473679752228,1509360
"314","Kyle Lowry",1634,365,494,158,34,-686,-93,-225,77,-9.01366541013902,1.2e+07
"315","Erick Green",13,5,2,1,0,-7,0,0,6,-0.680412625851992,99418
"316","Raul Neto",476,120,174,62,2,-238,-18,-109,81,-2.78484964167432,1e+06
"317","Shelvin Mack",355,106,149,26,3,-178,-13,-81,28,-5.84139311062101,2433333
"318","Trey Burke",679,112,148,35,6,-372,-15,-80,64,-3.50929465148095,2658240
"319","John Wall",1531,379,789,145,59,-777,-72,-318,77,-10.3658974412832,15851950
"320","Ramon Sessions",810,203,239,46,5,-312,-69,-115,82,-3.97846430858981,2170465
"321","Kent Bazemore",872,379,171,98,38,-405,-28,-138,75,-5.90058925275363,2e+06
"322","Thabo Sefolosha",480,334,107,85,37,-184,-37,-68,75,-4.23591309149567,4e+06
"323","Coty Clarke",6,1,0,0,0,-2,0,-1,3,-0.470804261403837,61776
"324","Jae Crowder",1038,373,135,126,35,-453,-43,-83,73,-6.2058727110034,6e+06
"325","Bojan Bogdanovic",887,255,99,29,5,-425,-22,-115,79,-3.89702711695128,3425510
"326","Joe Johnson",671,224,232,40,2,-361,-16,-116,57,-5.56772523254636,24894863
"327","Rondae Hollis-Jefferson",167,154,43,39,16,-75,-15,-26,29,-4.61934168589495,1335480
"328","Sergey Karasev",97,58,35,6,2,-44,-2,-22,40,-1.3527573788488,1599840
"329","Doug McDermott",764,195,59,14,6,-353,-12,-53,81,-2.64092632753984,2380440
"330","Mike Dunleavy",222,83,39,14,10,-111,-8,-26,31,-3.16877686501357,4500000
"331","Tony Snell",338,199,63,16,17,-213,-3,-52,64,-2.61518392830536,1535880
"332","Michael Kidd-Gilchrist",89,45,9,3,3,-28,-9,-8,7,-5.54307209879288,6331404
"333","Nicolas Batum",1046,428,403,65,43,-501,-29,-205,70,-8.02325364445863,12235750
"334","P.J. Hairston",286,128,29,24,7,-177,-8,-24,48,-2.55579900378682,NA
"335","Dahntay Jones",13,5,2,1,2,-8,0,0,1,-5.91297097595697,8819
"336","James Jones",178,50,14,11,10,-84,-5,-13,48,-1.36629810699399,1499000
"337","LeBron James",1920,565,514,104,49,-679,-132,-249,76,-11.2857516221361,22971000
"338","Richard Jefferson",410,128,59,33,14,-169,-29,-43,74,-2.42477937060155,1499000
"339","Chandler Parsons",837,285,169,46,21,-331,-43,-95,61,-5.74993666059605,15361500
"340","Jeremy Evans",71,54,2,6,9,-22,-6,-7,30,-1.32960067712599,1100602
"341","Justin Anderson",208,132,29,19,25,-104,-11,-24,55,-2.18158705585591,1449000
"342","Axel Toupane",76,31,15,7,6,-45,-4,-6,21,-1.85416725414997,123552
"343","Danilo Gallinari",1036,281,135,42,19,-413,-57,-77,53,-6.88549993103308,1.4e+07
"344","JaKarr Sampson",134,61,16,12,17,-61,-7,-19,26,-2.8044670481061,285489
"345","Kostas Papanikolaou",67,40,16,13,5,-42,-5,-21,26,-2.00643499458824,350000
"346","Mike Miller",63,53,40,13,4,-40,0,-17,47,-1.1468162196402,1499187
"347","Marcus Morris",1131,404,201,67,23,-535,-68,-140,80,-6.21930937514602,5e+06
"348","Reggie Bullock",122,68,27,10,2,-55,-1,-8,37,-1.40502049675588,1252440
"349","Stanley Johnson",593,306,118,55,12,-375,-22,-114,73,-4.38958620613955,2841960
"350","Andre Iguodala",457,263,219,73,19,-192,-32,-79,65,-4.83909482203828,11710456
"351","Harrison Barnes",774,325,117,41,10,-338,-32,-57,66,-4.53142133914539,3873398
"352","Corey Brewer",590,199,109,84,19,-340,-35,-78,82,-3.78739072641968,8200000
"353","K.J. McDaniels",89,42,10,7,6,-43,-6,-17,37,-1.28944663893665,3333333
"354","Michael Beasley",255,98,16,11,9,-98,-11,-24,20,-4.67889436095962,306527
"355","Sam Dekker",0,1,0,1,0,0,0,0,3,-0.310130059021184,1646400
"356","Trevor Ariza",1025,366,188,160,26,-502,-35,-113,81,-6.16657346762232,8193030
"357","C.J. Miles",753,175,63,53,29,-375,-31,-70,64,-4.46072056850473,4394225
"358","Chase Budinger",216,121,49,29,9,-113,-14,-31,49,-2.59323039945974,5e+06
"359","Glenn Robinson",171,68,26,17,9,-86,-12,-18,45,-1.89443159841243,845000
"360","Paul George",1874,563,329,152,29,-844,-74,-265,81,-9.86387328535677,17120106
"361","Solomon Hill",246,166,57,37,11,-115,-6,-33,59,-2.40375517617182,1358880
"362","Jeff Green",293,91,40,18,21,-153,-25,-24,27,-5.07895840781806,9200000
"363","Lance Stephenson",204,108,60,24,3,-84,-9,-48,43,-2.75186248235807,NA
"364","Paul Pierce",417,186,71,33,17,-253,-12,-58,68,-2.9719510456988,3400000
"365","Wesley Johnson",549,248,49,89,56,-307,-16,-54,80,-3.71136349449453,1100600
"366","Anthony Brown",115,70,19,14,5,-87,-3,-15,29,-2.24078125457143,7e+05
"367","Kobe Bryant",1161,247,184,62,13,-715,-49,-129,66,-6.89949992202875,2.5e+07
"368","Metta World Peace",176,89,27,22,11,-122,-17,-15,35,-2.96694449916989,1499187
"369","James Ennis",16,7,2,4,2,-9,-4,-2,10,-1.35698324534784,845059
"370","Jeff Green",646,241,98,40,19,-317,-31,-69,53,-5.20565342050091,NA
"371","Lance Stephenson",369,115,73,19,6,-162,-15,-46,26,-5.74960673840744,9e+06
"372","Matt Barnes",758,420,163,78,57,-429,-27,-121,76,-5.72147856089972,3542500
"373","P.J. Hairston",124,46,9,8,4,-86,-6,-17,18,-3.12624358218952,1201440
"374","James Ennis",0,0,1,0,0,0,0,0,3,-0.0981035256705382,NA
"375","Joe Johnson",321,68,86,21,2,-121,-8,-43,24,-5.19927526573279,414481
"376","Justise Winslow",502,403,117,68,26,-267,-37,-95,78,-4.38198242688222,2481720
"377","Damien Inglis",36,31,10,6,3,-24,-1,-11,20,-1.42068871582035,855000
"378","Andrew Wiggins",1675,292,164,78,46,-700,-135,-182,81,-7.82140238472917,5758680
"379","Damjan Rudez",75,20,11,3,1,-37,0,-13,33,-0.830972478575925,1149500
"380","Shabazz Muhammad",863,267,52,24,7,-364,-57,-70,82,-3.57428774015912,2056920
"381","Tayshaun Prince",221,147,73,36,13,-127,-6,-27,77,-1.8252092389397,1499187
"382","Alonzo Gee",325,245,72,63,13,-123,-22,-55,73,-2.94773774012727,1375000
"383","Dante Cunningham",484,236,77,42,33,-226,-25,-41,80,-2.95516879589265,3e+06
"384","James Ennis",143,35,18,12,3,-50,-5,-17,9,-5.96946710496898,74564
"385","Jordan Hamilton",125,62,25,8,3,-67,-7,-17,11,-5.60117247415947,119462
"386","Luke Babbitt",327,148,53,11,7,-167,-11,-23,47,-2.72038053052378,1100000
"387","Carmelo Anthony",1573,556,299,62,38,-740,-69,-176,72,-8.9525703246999,22875000
"388","Cleanthony Early",31,26,6,2,3,-28,-1,-9,17,-1.32751013461414,845059
"389","Derrick Williams",746,296,75,29,9,-311,-62,-61,80,-3.6899623118002,4900000
"390","Thanasis Antetokounmpo",6,1,0,0,0,-1,0,0,2,-0.376675848874603,105888
"391","Kevin Durant",2029,589,361,69,85,-683,-51,-250,72,-10.4530837945451,20158622
"392","Kyle Singler",231,141,24,30,9,-135,-15,-32,68,-1.91574124749,5e+06
"393","Evan Fournier",1213,225,213,96,2,-500,-39,-133,79,-5.5640949632286,2288205
"394","Mario Hezonja",478,176,109,39,17,-237,-5,-97,79,-2.91842039793496,3741480
"395","JaKarr Sampson",240,129,30,11,16,-116,-35,-51,47,-3.12666778813081,845059
"396","Jerami Grant",749,361,135,54,127,-348,-110,-110,77,-6.60084440529987,845059
"397","Robert Covington",858,419,97,105,40,-438,-37,-143,67,-6.72306645821017,1e+06
"398","Sonny Weems",17,12,2,0,0,-14,-1,-4,7,-1.31971170936344,2800000
"399","Chase Budinger",55,29,15,3,1,-22,-3,-13,17,-1.7422635587476,258082
"400","P.J. Tucker",652,512,177,106,20,-343,-36,-111,82,-5.28553653906023,5500000
"401","T.J. Warren",515,147,44,37,16,-220,-19,-32,47,-3.89652411207578,2041080
"402","Al-Farouq Aminu",839,499,138,72,53,-420,-41,-120,82,-5.52059067229721,7500000
"403","Maurice Harkless",498,280,67,49,35,-216,-42,-62,78,-3.52386415034287,2894059
"404","Caron Butler",63,22,10,9,1,-34,-2,-3,17,-1.61274403007595,1499187
"405","Duje Dukan",6,4,1,1,0,-8,0,0,1,-3.443796654276,525093
"406","Omri Casspi",813,410,95,56,17,-323,-56,-94,69,-5.32524684661729,3e+06
"407","Rudy Gay",1204,456,120,100,51,-541,-56,-139,70,-7.47864511659601,12403101
"408","Kawhi Leonard",1523,493,186,128,71,-539,-42,-105,72,-8.00720073692862,16500000
"409","Kyle Anderson",350,244,123,60,29,-157,-21,-59,78,-3.17647019607007,1142879
"410","Rasual Butler",124,56,24,13,23,-55,-5,-8,46,-1.53231054875691,1499187
"411","Bruno Caboclo",3,2,1,2,1,-11,0,-4,6,-1.13356487025963,1524000
"412","DeMarre Carroll",286,122,27,44,6,-165,-20,-28,26,-5.61423445369026,13500000
"413","Terrence Ross",720,185,56,54,25,-356,-13,-46,73,-3.41453955690225,3553917
"414","Chris Johnson",205,132,45,32,20,-122,-8,-40,70,-1.97492120678545,981348
"415","Gordon Hayward",1578,397,296,95,27,-681,-84,-202,80,-8.06835949081885,15409570
"416","J.J. O'Brien",0,1,0,1,0,-1,0,0,2,-0.540752049852266,105888
"417","Joe Ingles",342,151,96,55,4,-167,-5,-65,81,-2.31607756198377,2250000
"418","Garrett Temple",582,212,140,69,18,-304,-34,-64,80,-3.70854604061811,1100602
"419","Jarell Eddie",63,23,5,5,1,-45,0,-1,26,-0.847615333310215,561716
"420","Kelly Oubre",236,133,13,22,7,-121,-18,-34,63,-1.90624520332964,1920240
"421","Otto Porter",871,391,120,105,32,-378,-31,-70,75,-5.26185319159118,4662960
"422","Justin Holiday",63,27,11,13,4,-49,-5,-13,26,1.95201614923451,NA
"423","Kyle Korver",739,260,164,60,35,-348,-9,-98,80,4.72244847886422,5746479
"424","Lamar Patterson",84,50,39,9,2,-52,-6,-23,35,1.94102365694895,525093
"425","Tim Hardaway",326,86,51,21,7,-151,-6,-23,51,2.54356790850984,1304520
"426","Avery Bradley",1155,220,158,117,19,-563,-27,-109,76,6.35356545893726,7730337
"427","Evan Turner",854,397,359,80,28,-410,-31,-169,81,6.91607423067268,3425510
"428","James Young",29,26,9,6,1,-25,-3,-5,29,0.971670283112628,1749840
"429","R.J. Hunter",97,37,13,14,4,-62,-1,-11,36,1.49926118553891,1148640
"430","Markel Brown",363,122,91,38,15,-195,-23,-54,62,3.53373834034456,845059
"431","Sean Kilpatrick",318,50,26,10,2,-134,-6,-27,23,4.18921143384105,320594
"432","Wayne Ellington",586,174,83,48,5,-343,-9,-45,76,3.26331697949872,1500000
"433","E'Twaun Moore",443,133,99,37,18,-202,-13,-53,59,3.76147696854329,1015421
"434","Jimmy Butler",1399,358,321,110,43,-565,-80,-132,67,10.1075179692313,15260000
"435","Justin Holiday",176,63,45,19,15,-91,-5,-26,27,4.040867467499,947300
"436","Aaron Harrison",18,15,2,6,0,-14,-7,-4,21,1.11149473155138,525093
"437","Courtney Lee",250,87,60,33,12,-122,-3,-23,28,4.81755373156792,5675000
"438","Jeremy Lamb",580,252,77,42,30,-280,-24,-50,66,4.55809999965163,3034356
"439","Jeremy Lin",914,253,235,58,42,-428,-54,-150,78,6.45425308827992,2100000
"440","Troy Daniels",242,57,21,11,3,-98,-4,-24,43,1.95919582392299,947276
"441","Iman Shumpert",311,203,92,54,19,-191,-11,-57,54,4.53703590660329,9e+06
"442","J.R. Smith",955,217,130,81,21,-497,-26,-59,77,5.12909507294064,5e+06
"443","Jared Cunningham",104,29,19,12,2,-59,-18,-18,40,1.80017669712671,NA
"444","Joe Harris",3,3,2,0,0,-3,0,-1,5,0.527905873691519,NA
"445","John Jenkins",69,22,9,3,0,-41,-1,-11,21,1.40845832391448,NA
"446","Wesley Matthews",977,238,151,78,17,-523,-20,-78,78,5.2418016325291,16400000
"447","Gary Harris",932,220,147,97,18,-406,-24,-98,76,5.42973219659245,1587480
"448","Randy Foye",323,105,112,26,16,-216,-8,-58,54,3.64649777718398,NA
"449","Sean Kilpatrick",27,6,3,2,0,-13,-1,-4,8,1.42352720647057,99418
"450","Will Barton",1178,476,203,71,39,-558,-52,-139,82,7.30000195823743,3333333
"451","Darrun Hilliard",152,45,27,9,1,-79,-11,-19,38,1.96030685456544,525093
"452","Jodie Meeks",22,5,3,0,0,-13,0,-1,3,2.13203085798257,6270000
"453","Kentavious Caldwell-Pope",1105,282,138,110,17,-557,-43,-105,76,6.56480180487759,2891760
"454","Brandon Rush",305,181,57,20,23,-149,-10,-33,72,2.55720159111357,1270964
"455","Ian Clark",236,68,64,17,13,-113,-6,-43,66,1.96264717423766,947276
"456","Klay Thompson",1771,306,166,60,49,-735,-28,-138,80,7.27123472690491,15500000
"457","Leandro Barbosa",433,117,82,44,10,-199,-10,-53,68,3.01527649092151,2500000
"458","James Harden",2376,501,612,139,51,-907,-117,-374,82,13.6780110991165,15756438
"459","Jason Terry",422,79,103,47,9,-225,-6,-49,72,2.74826961652341,1499187
"460","Marcus Thornton",472,115,66,34,3,-261,-7,-40,47,3.96478126638285,1186000
"461","Monta Ellis",1121,271,383,150,37,-585,-44,-203,81,8.35316357908713,10300000
"462","Austin Rivers",593,130,99,48,9,-290,-37,-61,67,4.11220462348686,3100000
"463","C.J. Wilcox",70,12,10,10,2,-40,-3,-2,23,1.4090828068613,1159680
"464","J.J. Redick",1226,139,106,42,5,-458,-23,-78,75,4.45329330433271,6867000
"465","Jamal Crawford",1120,145,183,52,12,-560,-26,-113,79,5.11004460134846,5675000
"466","Jordan Clarkson",1225,313,192,88,7,-623,-40,-135,79,6.63960583953844,845059
"467","Lou Williams",1028,169,167,62,19,-410,-72,-107,67,6.57367474884753,7e+06
"468","Nick Young",392,97,34,23,7,-246,-13,-30,54,2.98254680808645,5219169
"469","Courtney Lee",511,118,76,52,16,-227,-16,-49,51,4.53722254790636,NA
"470","Jordan Adams",7,2,3,3,0,-4,-2,-2,2,4.15760200601833,1404600
"471","Tony Allen",535,296,70,110,18,-254,-48,-78,64,6.08806983862965,5168539
"472","Vince Carter",395,146,56,38,16,-210,-14,-35,60,3.37054171365389,4088091
"473","Xavier Munford",80,31,22,13,3,-45,-7,-15,14,4.1183239629883,89588
"474","Dwyane Wade",1409,302,344,79,42,-643,-84,-203,74,9.38784675559549,2e+07
"475","Gerald Green",616,163,56,38,19,-357,-20,-46,69,3.79017277536308,1356000
"476","Josh Richardson",341,107,73,36,25,-149,-21,-35,52,3.80977985568934,525093
"477","Tyler Johnson",314,109,79,24,14,-125,-13,-47,36,4.7177513923647,845059
"478","Jared Cunningham",16,9,1,2,0,-10,-1,-3,4,2.49183798010081,57726
"479","Jerryd Bayless",541,141,163,47,11,-252,-20,-73,52,5.29732864526262,3e+06
"480","Khris Middleton",1434,302,331,131,19,-635,-35,-180,79,8.13861317360121,1.5e+07
"481","O.J. Mayo",321,105,118,48,8,-202,-9,-72,41,5.2239990359272,8e+06
"482","Rashad Vaughn",217,88,39,29,16,-185,-3,-28,70,2.01234034344319,1733040
"483","Kevin Martin",415,81,46,17,1,-208,-17,-41,39,3.94200771008498,7085000
"484","Zach LaVine",1150,228,251,69,17,-526,-42,-155,82,6.13451819843183,2148360
"485","Bryce Dejean-Jones",79,48,15,10,2,-41,-10,-11,14,4.11918791723323,281659
"486","Eric Gordon",686,99,121,43,14,-321,-14,-73,45,5.90487089852498,15514031
"487","Jimmer Fredette",2,0,1,1,0,-3,0,-1,4,0.562194642598371,54812
"488","Orlando Johnson",10,6,2,1,0,-13,-1,-3,5,1.71810750473542,55722
"489","Tyreke Evans",379,129,164,32,8,-178,-19,-73,25,9.29447995522155,11227000
"490","Arron Afflalo",909,266,144,25,10,-445,-21,-82,71,4.91906822098947,8e+06
"491","Jimmer Fredette",7,0,0,0,0,0,-1,-1,2,1.05847275949096,59731
"492","Sasha Vujacic",296,149,84,34,5,-171,-7,-44,61,2.93832126922364,1356146
"493","Andre Roberson",337,251,47,53,42,-138,-21,-35,70,3.77592488694735,1210800
"494","Anthony Morrow",380,62,24,22,5,-197,-10,-17,68,1.85575043877469,3344000
"495","Dion Waiters",762,202,154,81,15,-424,-45,-120,78,5.36851980409125,5138430
"496","Randy Foye",151,51,49,13,13,-97,-5,-28,27,3.69388514813034,3270000
"497","Devyn Marble",60,38,12,13,1,-50,-14,-7,28,2.06446216576731,845059
"498","Victor Oladipo",1153,345,282,116,54,-545,-42,-153,72,8.72761841653212,5192520
"499","Hollis Thompson",758,272,99,36,24,-410,-27,-76,77,4.55775067336993,947276
"500","Isaiah Canaan",846,174,137,56,12,-462,-30,-91,77,4.69497633809731,947276
"501","Nik Stauskas",617,183,138,44,20,-335,-27,-94,73,4.45994521212062,2869440
"502","Brandon Knight",1018,202,263,61,20,-524,-27,-177,52,9.24474595978018,1.2e+07
"503","Devin Booker",1048,187,200,44,20,-500,-41,-160,76,5.91716845439961,2127840
"504","John Jenkins",109,35,26,5,1,-48,-3,-16,22,2.25271554608175,981000
"505","Orlando Johnson",16,9,0,2,3,-12,-1,-1,2,6.14040338000256,55722
"506","Sonny Weems",90,41,47,10,1,-54,-6,-37,36,2.0907566327703,NA
"507","Allen Crabbe",832,216,99,63,16,-367,-15,-64,81,4.03408473771154,947276
"508","C.J. McCollum",1666,259,341,97,23,-790,-39,-196,80,8.28021297387144,2525160
"509","Gerald Henderson",624,211,75,39,19,-297,-34,-68,72,4.16426028245571,6e+06
"510","Luis Montero",14,4,1,0,0,-14,-1,-4,12,0.653820627783534,525093
"511","Pat Connaughton",36,32,10,2,0,-36,0,-10,34,0.802002784512286,525093
"512","Ben McLemore",531,148,79,52,10,-260,-29,-99,68,4.14232147136405,3156600
"513","James Anderson",179,86,41,21,14,-111,-7,-42,51,2.53572176977376,1015421
"514","Marco Belinelli",696,117,127,37,2,-390,-23,-80,68,4.11405564559587,6333333
"515","Danny Green",572,303,141,79,64,-350,-12,-75,79,5.21864004015663,1e+07
"516","Jonathon Simmons",331,96,58,24,5,-120,-23,-53,55,2.99885229718432,525093
"517","Kevin Martin",99,29,12,9,2,-55,-2,-13,16,2.88341431038798,317475
"518","Manu Ginobili",555,146,177,66,11,-238,-21,-99,58,5.3467210526515,2814000
"519","Cory Joseph",677,210,250,63,20,-328,-41,-102,80,5.0380507681604,7e+06
"520","DeMar DeRozan",1830,349,315,81,21,-763,-98,-175,78,9.33212997540091,9500000
"521","Norman Powell",273,111,47,29,10,-132,-10,-32,49,3.03055507162087,650000
"522","Alec Burks",412,109,63,18,4,-197,-35,-51,31,6.26317644424569,9213484
"523","Elijah Millsap",36,35,19,7,3,-28,-5,-9,20,2.09531785571852,362878
"524","Rodney Hood",1149,267,213,73,16,-564,-28,-125,79,6.08826094601638,1348440
"525","Alan Anderson",65,27,14,4,1,-38,-4,-2,13,2.48140282497047,4e+06
"526","Bradley Beal",958,188,162,54,11,-440,-41,-112,55,7.22086647266823,5694674
"527","Gary Neal",390,83,47,20,1,-174,-8,-29,40,3.34194422593058,2100000
"528","Marcus Thornton",118,35,19,13,1,-65,-5,-11,14,4.09006694444373,251107
